Name,Index No,Program Level,Session,Programme Of Study,Password,Phone,Academic Year,Dues payed,Recept No,Payment Date,Position ,Status,Email
"Abel , Lukas",323010030,200,Regular,BTech Information and Communication Technology,323010030,249769195,2024-2025,150,CSD241301,04.09.2023,student,Active,0323010030@htu.edu.gh
"Albert , Joan",324010003,200,Weekend,BTech Computer Science,324010003,545489016,2025-2026,150,CSD241302,04.09.2023,student,Active,0324010003@htu.edu.gh
"Albrecht , Leon",324011001,200,Regular,HND Computer Science,324011001,556488657,2023-2024,150,CSD241303,04.09.2024,student,Active,0324011001@htu.edu.gh
"Asante , Thomas",323010001,200,Weekend,HND Information and Communication Technology,323010001,544828858,2023-2025,150,CSD241304,04.09.2025,student,Active,0323010001@htu.edu.gh
"Augustin , Benno",324011006,200,Regular,BTech Information and Communication Technology,324011006,553909693,2024-2025,150,CSD241305,04.09.2026,student,Active,0324011006@htu.edu.gh
"Baecker , Cathrine",323010031,200,Weekend,BTech Computer Science,323010031,248087165,2025-2026,150,CSD241306,04.09.2027,student,Active,0323010031@htu.edu.gh
"Bake , Leo Richard",323010032,200,Regular,HND Computer Science,323010032,533010546,2023-2024,150,CSD241307,04.09.2028,student,Active,0323010032@htu.edu.gh
"Barsikow , Winnie",324011009,200,Weekend,HND Information and Communication Technology,324011009,534075907,2023-2025,150,CSD241308,04.09.2029,student,Active,0324011009@htu.edu.gh
"Bauch , Tristan",324011010,200,Regular,BTech Information and Communication Technology,324011010,543051484,2024-2025,150,CSD241309,04.09.2030,student,Active,0324011010@htu.edu.gh
"Beck , Marcel",323010033,200,Weekend,BTech Computer Science,323010033,249029410,2025-2026,150,CSD241310,04.09.2031,student,Active,0323010033@htu.edu.gh
"Bedzoh , Tabea",324011012,300,Regular,HND Computer Science,324011012,543821458,2023-2024,150,CSD241311,04.09.2032,student,Active,0324011012@htu.edu.gh
"Beland , Timothy",324011013,300,Weekend,HND Information and Communication Technology,324011013,553291315,2023-2025,150,CSD241312,04.09.2033,student,Active,0324011013@htu.edu.gh
"Benke , Ann-Cathrine",324011014,300,Regular,BTech Information and Communication Technology,324011014,595723491,2025-2026,150,CSD241313,04.09.2034,student,Active,0324011014@htu.edu.gh
"Beigner , Lena",323010002,300,Weekend,BTech Computer Science,323010002,507766414,2023-2024,150,CSD241314,04.09.2035,student,Active,0323010002@htu.edu.gh
"Benz , Tom",324011016,300,Regular,HND Computer Science,324011016,507343892,2023-2025,150,CSD241315,04.09.2036,student,Active,0324011016@htu.edu.gh
"Bandoh , Stev",324011017,300,Weekend,HND Information and Communication Technology,324011017,595443887,2024-2025,150,CSD241316,04.09.2037,student,Active,0324011017@htu.edu.gh
"Blank , Michael",324011018,300,Regular,BTech Information and Communication Technology,324011018,551805905,2025-2026,150,CSD241317,04.09.2038,student,Active,0324011018@htu.edu.gh
"Bansah , Alexander",323010003,300,Weekend,BTech Computer Science,323010003,598900885,2023-2024,150,CSD241318,04.09.2039,student,Active,0323010003@htu.edu.gh
"Brand , Martin",324011020,300,Regular,HND Computer Science,324011020,599623697,2023-2025,150,CSD241319,04.09.2040,student,Active,0324011020@htu.edu.gh
"Breecher , Maja",324011021,300,Weekend,HND Information and Communication Technology,324011021,537705966,2024-2025,150,CSD241320,04.09.2041,student,Active,0324011021@htu.edu.gh
"Bremer , Jannik",323010034,300,Regular,BTech Information and Communication Technology,323010034,256963908,2025-2026,150,CSD241321,04.09.2042,student,Active,0323010034@htu.edu.gh
"Brenner , Aileen",323010004,300,Weekend,BTech Computer Science,323010004,599011649,2023-2024,150,CSD241322,04.09.2043,student,Active,0323010004@htu.edu.gh
"Brunke , Henning",323010005,300,Regular,HND Computer Science,323010005,544879800,2023-2025,150,CSD241323,04.09.2044,student,Active,0323010005@htu.edu.gh
"Brunner , Lea",324011025,300,Weekend,HND Information and Communication Technology,324011025,0550035287/ 0509301848,2025-2026,150,CSD241324,04.09.2045,student,Active,0324011025@htu.edu.gh
"Brunner , Lena",324011026,300,Regular,BTech Information and Communication Technology,324011026,550439354,2023-2024,150,CSD241325,04.09.2046,student,Active,0324011026@htu.edu.gh
"Bullow , Hans",323010035,300,Weekend,BTech Computer Science,323010035,552628420,2023-2025,150,CSD241326,04.09.2047,student,Active,0323010035@htu.edu.gh
"Buth , Laura-Sophia",324011028,300,Regular,HND Computer Science,324011028,551503956,2024-2025,150,CSD241327,04.09.2048,student,Active,0324011028@htu.edu.gh
"Constantine , Robert",323010036,300,Weekend,HND Information and Communication Technology,323010036,556373624,2025-2026,150,CSD241328,04.09.2049,student,Active,0323010036@htu.edu.gh
"Dawido , Frank",324011030,300,Regular,BTech Information and Communication Technology,324011030,256840769,2023-2024,150,CSD241329,04.09.2050,student,Active,0324011030@htu.edu.gh
"Denke , Zoo",323010006,300,Weekend,BTech Computer Science,323010006,257747881,2023-2025,150,CSD241330,04.09.2051,student,Active,0323010006@htu.edu.gh
"Duse , Sina",324011022,300,Regular,HND Computer Science,324011022,557810375,2024-2025,150,CSD241331,04.09.2052,student,Active,0324011022@htu.edu.gh
"Diet , Bastian",323010039,300,Weekend,HND Information and Communication Technology,323010039,541036168,2025-2026,150,CSD241332,04.09.2053,student,Active,0323010039@htu.edu.gh
"Diet , Vivian",323010007,300,Regular,BTech Information and Communication Technology,323010007,256271928,2023-2024,150,CSD241333,04.09.2054,student,Active,0323010007@htu.edu.gh
"Dola , Paul",324011035,300,Weekend,BTech Computer Science,324011035,546174085,2023-2025,150,CSD241334,04.09.2055,student,Active,0324011035@htu.edu.gh
"Eingel , Nilas",324011036,300,Regular,HND Computer Science,324011036,547864286,2025-2026,150,CSD241335,04.09.2056,student,Active,0324011036@htu.edu.gh
"Eliman , Vivian",323010008,300,Weekend,HND Information and Communication Technology,323010008,597085652,2023-2024,150,CSD241336,04.09.2057,student,Active,0323010008@htu.edu.gh
"Enders , Alice",324011038,300,Regular,BTech Information and Communication Technology,324011038,549166334,2023-2025,150,CSD241337,04.09.2058,student,Active,0324011038@htu.edu.gh
"Ewe , Malt",324011039,300,Weekend,BTech Computer Science,324011039,544848409,2024-2025,150,CSD241338,04.09.2059,student,Active,0324011039@htu.edu.gh
"Fell , Vanessa",324011040,300,Regular,HND Computer Science,324011040,596876343,2025-2026,150,CSD241339,04.09.2060,student,Active,0324011040@htu.edu.gh
"Fischer , Anna",323010041,300,Weekend,HND Information and Communication Technology,323010041,242526824,2023-2024,150,CSD241340,04.09.2061,student,Active,0323010041@htu.edu.gh
"Fischer , Tobias",323010009,300,Regular,BTech Information and Communication Technology,323010009,208129873,2023-2025,150,CSD241341,04.09.2062,student,Active,0323010009@htu.edu.gh
"Flemig , Majack",324011043,300,Weekend,BTech Computer Science,324011043,249326750,2024-2025,150,CSD241342,04.09.2063,student,Active,0324011043@htu.edu.gh
"Frame , Amanda",323010044,300,Regular,HND Computer Science,323010044,555969351,2025-2026,150,CSD241343,04.09.2064,student,Active,0323010044@htu.edu.gh
