Name,Index No,Program Level,Session,Programme Of Study,Password,Phone,Academic Year,Dues payed,Recept No,Payment Date,Position ,Status,Email
"Abel , Lukas",323010030,200,Regular,BTech Information and Communication Technology,323010030,249769195,2024-2025,150,CSD2413985,04.09.2023,student,Active,0323080999@htu.edu.gh
"Albert , Joan",324010003,200,Weekend,BTech Computer Science,324010003,545489016,2025-2026,160,CSD2413985,04.09.2023,student,Active,0323080123@htu.edu.gh
"Albrecht , Leon",324011001,200,Regular,HND Computer Science,324011001,556488657,2023-2024,,,,student,Active,
"Asante , Thomas",323010001,200,Weekend,HND Information and Communication Technology,323010001,544828858,2023-2025,,,,student,Active,
"Augustin , Benno",324011006,200,Regular,BTech Information and Communication Technology,324011006,553909693,2024-2025,,,,student,Active,
"Baecker , Cathrine",323010031,200,Weekend,BTech Computer Science,323010031,248087165,2025-2026,,,,student,Active,
"Bake , Leo Richard",323010032,200,Regular,HND Computer Science,323010032,533010546,2023-2024,,,,student,Active,
"Barsikow , Winnie",324011009,200,Weekend,HND Information and Communication Technology,324011009,534075907,2023-2025,,,,student,Active,
"Bauch , Tristan",324011010,200,Regular,BTech Information and Communication Technology,324011010,543051484,2024-2025,,,,student,Active,
"Beck , Marcel",323010033,200,Weekend,BTech Computer Science,323010033,249029410,2025-2026,,,,student,Active,
"Bedzoh , Tabea",324011012,300,Regular,HND Computer Science,324011012,543821458,2023-2024,,,,student,Active,
"Beland , Timothy",324011013,300,Weekend,HND Information and Communication Technology,324011013,553291315,2023-2025,,,,student,Active,
"Benke , Ann-Cathrine",324011014,300,Regular,BTech Information and Communication Technology,324011014,595723491,2025-2026,,,,student,Active,
"Beigner , Lena",323010002,300,Weekend,BTech Computer Science,323010002,507766414,2023-2024,,,,student,Active,
"Benz , Tom",324011016,300,Regular,HND Computer Science,324011016,507343892,2023-2025,,,,student,Active,
"Bandoh , Stev",324011017,300,Weekend,HND Information and Communication Technology,324011017,595443887,2024-2025,,,,student,Active,
"Blank , Michael",324011018,300,Regular,BTech Information and Communication Technology,324011018,551805905,2025-2026,,,,student,Active,
"Bansah , Alexander",323010003,300,Weekend,BTech Computer Science,323010003,598900885,2023-2024,,,,student,Active,
"Brand , Martin",324011020,300,Regular,HND Computer Science,324011020,599623697,2023-2025,,,,student,Active,
"Breecher , Maja",324011021,300,Weekend,HND Information and Communication Technology,324011021,537705966,2024-2025,,,,student,Active,
"Bremer , Jannik",323010034,300,Regular,BTech Information and Communication Technology,323010034,256963908,2025-2026,,,,student,Active,
"Brenner , Aileen",323010004,300,Weekend,BTech Computer Science,323010004,599011649,2023-2024,,,,student,Active,
"Brunke , Henning",323010005,300,Regular,HND Computer Science,323010005,544879800,2023-2025,,,,student,Active,
"Brunner , Lea",324011025,300,Weekend,HND Information and Communication Technology,324011025,0550035287/ 0509301848,2025-2026,,,,student,Active,
"Brunner , Lena",324011026,300,Regular,BTech Information and Communication Technology,324011026,550439354,2023-2024,,,,student,Active,
"Bullow , Hans",323010035,300,Weekend,BTech Computer Science,323010035,552628420,2023-2025,,,,student,Active,
"Buth , Laura-Sophia",324011028,300,Regular,HND Computer Science,324011028,551503956,2024-2025,,,,student,Active,
"Constantine , Robert",323010036,300,Weekend,HND Information and Communication Technology,323010036,556373624,2025-2026,,,,student,Active,
"Dawido , Frank",324011030,300,Regular,BTech Information and Communication Technology,324011030,256840769,2023-2024,,,,student,Active,
"Denke , Zoo",323010006,300,Weekend,BTech Computer Science,323010006,257747881,2023-2025,,,,student,Active,
"Duse , Sina",324011022,300,Regular,HND Computer Science,324011022,557810375,2024-2025,,,,student,Active,
"Diet , Bastian",323010039,300,Weekend,HND Information and Communication Technology,323010039,541036168,2025-2026,,,,student,Active,
"Diet , Vivian",323010007,300,Regular,BTech Information and Communication Technology,323010007,256271928,2023-2024,,,,student,Active,
"Dola , Paul",324011035,300,Weekend,BTech Computer Science,324011035,546174085,2023-2025,,,,student,Active,
"Eingel , Nilas",324011036,300,Regular,HND Computer Science,324011036,547864286,2025-2026,,,,student,Active,
"Eliman , Vivian",323010008,300,Weekend,HND Information and Communication Technology,323010008,597085652,2023-2024,,,,student,Active,
"Enders , Alice",324011038,300,Regular,BTech Information and Communication Technology,324011038,549166334,2023-2025,,,,student,Active,
"Ewe , Malt",324011039,300,Weekend,BTech Computer Science,324011039,544848409,2024-2025,,,,student,Active,
"Fell , Vanessa",324011040,300,Regular,HND Computer Science,324011040,596876343,2025-2026,,,,student,Active,
"Fischer , Anna",323010041,300,Weekend,HND Information and Communication Technology,323010041,242526824,2023-2024,,,,student,Active,
"Fischer , Tobias",323010009,300,Regular,BTech Information and Communication Technology,323010009,208129873,2023-2025,,,,student,Active,
"Flemig , Majack",324011043,300,Weekend,BTech Computer Science,324011043,249326750,2024-2025,,,,student,Active,
"Frame , Amanda",323010044,300,Regular,HND Computer Science,323010044,555969351,2025-2026,,,,student,Active,
"Frank , Franiska",324011045,300,Weekend,HND Information and Communication Technology,324011045,245477957,2023-2024,,,,student,Active,
"Frick , John",324011046,300,Regular,BTech Information and Communication Technology,324011046,240239426,2023-2025,,,,student,Active,
"Frolick , Flo",324011047,300,Weekend,BTech Computer Science,324011047,257431196,2025-2026,,,,student,Active,
"Fossen , Tom",323010048,300,Regular,HND Computer Science,323010048,204453928,2023-2024,,,,student,Active,
"Grack , Frank",324011049,300,Weekend,HND Information and Communication Technology,324011049,532385446,2023-2025,,,,student,Active,
"Grassler , Florian",324011050,300,Regular,BTech Information and Communication Technology,324011050,550139144,2024-2025,,,,student,Active,
"Gorwen , Stephen",323010051,300,Weekend,BTech Computer Science,323010051,249261754,2025-2026,,,,student,Active,
"Giesa  , Eric",324011052,300,Regular,HND Computer Science,324011052,530743912,2023-2024,,,,student,Active,
"Groos , Pascal Bastian",323010053,300,Weekend,HND Information and Communication Technology,323010053,540791972,2023-2025,,,,student,Active,
"Gors , Victor",324010054,300,Regular,BTech Information and Communication Technology,324010054,542380722,2024-2025,,,,student,Active,
"Graber , Eva ",323010010,300,Weekend,BTech Computer Science,323010010,537588523,2025-2026,,,,student,Active,
"Griner , Vivian",324011056,300,Regular,HND Computer Science,324011056,544762323,2023-2024,,,,student,Active,
"Groth , Ola",323010057,300,Weekend,HND Information and Communication Technology,323010057,546860566,2023-2025,,,,student,Active,
"Gruwald , Tobia",324010058,300,Regular,BTech Information and Communication Technology,324010058,547079962,2025-2026,,,,student,Active,
"Gowu , Ema",324011059,300,Weekend,BTech Computer Science,324011059,545489016,2023-2024,,,,student,Active,
"Gussmann , Sarah Michelle",324010060,300,Regular,HND Computer Science,324010060,556488657,2023-2025,,,,student,Active,
"Haner , Rose Marie",324010061,300,Weekend,HND Information and Communication Technology,324010061,544828858,2024-2025,,,,student,Active,
"Hagan , Paula",324010062,300,Regular,BTech Information and Communication Technology,324010062,553909693,2025-2026,,,,student,Active,
"Hamann , Sebastian",323010011,300,Weekend,BTech Computer Science,323010011,248087165,2023-2024,,,,student,Active,
"Hartman , Patrick",324010064,300,Regular,HND Computer Science,324010064,533010546,2023-2025,,,,student,Active,
"Hat , Milian",324010065,300,Weekend,HND Information and Communication Technology,324010065,534075907,2024-2025,,,,student,Active,
"Hideman , Luisa",324010066,300,Regular,BTech Information and Communication Technology,324010066,543051484,2025-2026,,,,student,Active,
"Hello , Julius",324010067,300,Weekend,BTech Computer Science,324010067,249029410,2023-2024,,,,student,Active,
"Hike , Jule",324010068,300,Regular,HND Computer Science,324010068,543821458,2023-2025,,,,student,Active,
"Hins , Jona",324010069,300,Weekend,HND Information and Communication Technology,324010069,553291315,2025-2026,,,,student,Active,
"Hissen , Robert",323010012,300,Regular,BTech Information and Communication Technology,323010012,595723491,2023-2024,,,,student,Active,
"Hoffman , Sam",323010013,300,Weekend,BTech Computer Science,323010013,507766414,2023-2025,,,,student,Active,
"Hoffman , Paul",324011072,300,Regular,HND Computer Science,324011072,507343892,2024-2025,,,,student,Active,
"Hot , Rita",323010014,300,Weekend,HND Information and Communication Technology,323010014,595443887,2025-2026,,,,student,Active,
"Hosen , Joan",324010074,300,Regular,BTech Information and Communication Technology,324010074,551805905,2023-2024,,,,student,Active,
"Homann , Rudi",324011075,300,Weekend,BTech Computer Science,324011075,598900885,2023-2025,,,,student,Active,
"Hoseman , Felix",323010015,300,Regular,HND Computer Science,323010015,599623697,2024-2025,,,,student,Active,
"Jabs , Min",324010077,300,Weekend,HND Information and Communication Technology,324010077,537705966,2025-2026,,,,student,Active,
"Jean , Richard",323010016,300,Regular,BTech Information and Communication Technology,323010016,256963908,2023-2024,,,,student,Active,
"John , Henry",324011079,300,Weekend,BTech Computer Science,324011079,599011649,2023-2025,,,,student,Active,
"Janick , Gina Maria",324011080,300,Regular,HND Computer Science,324011080,544879800,2025-2026,,,,student,Active,
"Jarke , Tom",324011081,300,Weekend,HND Information and Communication Technology,324011081,0550035287/ 0509301848,2023-2024,,,,student,Active,
"Kazol , Tom",324011082,300,Regular,BTech Information and Communication Technology,324011082,550439354,2023-2025,,,,student,Active,
"Karp , Till",324011083,300,Weekend,BTech Computer Science,324011083,552628420,2024-2025,,,,student,Active,
"Karso , Frank",324011084,300,Regular,HND Computer Science,324011084,551503956,2025-2026,,,,student,Active,
"Kelm , Danny",324011085,300,Weekend,HND Information and Communication Technology,324011085,556373624,2023-2024,,,,student,Active,
"Kindler , Oliver",324010086,300,Regular,BTech Information and Communication Technology,324010086,256840769,2023-2025,,,,student,Active,
"Kike , Nora",324011087,300,Weekend,BTech Computer Science,324011087,257747881,2024-2025,,,,student,Active,
"Kloster , Milian",323010088,300,Regular,HND Computer Science,323010088,557810375,2025-2026,,,,student,Active,
"Kluge , Soren",324010089,300,Weekend,HND Information and Communication Technology,324010089,541036168,2023-2024,,,,student,Active,
"Klu , Philipp",323010017,300,Regular,BTech Information and Communication Technology,323010017,256271928,2023-2025,,,,student,Active,
"Komied , Lukas",323010091,300,Weekend,BTech Computer Science,323010091,546174085,2025-2026,,,,student,Active,
"Koke , Marie",324011092,300,Regular,HND Computer Science,324011092,547864286,2023-2024,,,,student,Active,
"Koke , Nicolas",324011093,300,Weekend,HND Information and Communication Technology,324011093,597085652,2023-2025,,,,student,Active,
"Krassman , Paul Eric",324011094,300,Regular,BTech Information and Communication Technology,324011094,549166334,2024-2025,,,,student,Active,
"Krause , Jenet",324010095,300,Weekend,BTech Computer Science,324010095,544848409,2025-2026,,,,student,Active,
"Kroos , Nico",324010096,300,Regular,HND Computer Science,324010096,596876343,2023-2024,,,,student,Active,
"Kremann , Monica",324010097,300,Weekend,HND Information and Communication Technology,324010097,242526824,2023-2025,,,,student,Active,
"Krossberg , Fredrick",323010098,300,Regular,BTech Information and Communication Technology,323010098,208129873,2024-2025,,,,student,Active,
"Kottoh , Michelle",324010099,300,Weekend,BTech Computer Science,324010099,249326750,2025-2026,,,,student,Active,
"Kurt , Johanna",324010100,300,Regular,HND Computer Science,324010100,555969351,2023-2024,,,,student,Active,
"Kurus , Marvin ",324010101,300,Weekend,HND Information and Communication Technology,324010101,245477957,2023-2025,,,,student,Active,
"Kossner , Malt",324010102,300,Regular,BTech Information and Communication Technology,324010102,240239426,2025-2026,,,,student,Active,
"Labes , Lucy",324010021,300,Weekend,BTech Computer Science,324010021,257431196,2023-2024,,,,student,Active,
"Labs , Leon",324010031,300,Regular,HND Computer Science,324010031,204453928,2023-2025,,,,student,Active,
"Langer , Nell",323010018,300,Weekend,HND Information and Communication Technology,323010018,532385446,2024-2025,,,,student,Active,
"Langans , Moriss",324011106,300,Regular,BTech Information and Communication Technology,324011106,550139144,2025-2026,,,,student,Active,
"Lasker , Morit",324011107,300,Weekend,BTech Computer Science,324011107,249261754,2023-2024,,,,student,Active,
