Name,Index No,Program Level,Session,Programme Of Study,Password,Phone,Academic Year,Dues payed,Recept No,Payment Date,Position ,Status,Email
"Abel , Lukas",323010030,200,Regular,BTech Information and Communication Technology,323010030,249769195,2024-2025,150,CSD2410001,04.09.2023,student,Active,323010030@htu.edu.gh
"Albert , Joan",324010003,200,Weekend,BTech Computer Science,324010003,545489016,2024-2025,150,CSD2410002,04.09.2023,student,Active,324010003@htu.edu.gh
"Albrecht , Leon",324011001,200,Regular,HND Computer Science,324011001,556488657,2024-2025,150,CSD2410003,,student,Active,324011001@htu.edu.gh
"Asante , Thomas",323010001,200,Weekend,HND Information and Communication Technology,323010001,544828858,2024-2025,150,CSD2410004,,student,Active,323010001@htu.edu.gh
"Augustin , Benno",324011006,200,Regular,BTech Information and Communication Technology,324011006,553909693,2024-2025,150,CSD2410005,,student,Active,324011006@htu.edu.gh
"Baecker , Cathrine",323010031,200,Weekend,BTech Computer Science,323010031,248087165,2024-2025,150,CSD2410006,,student,Active,323010031@htu.edu.gh
"Bake , Leo Richard",323010032,200,Regular,HND Computer Science,323010032,533010546,2024-2025,150,CSD2410007,,student,Active,323010032@htu.edu.gh
"Barsikow , Winnie",324011009,200,Weekend,HND Information and Communication Technology,324011009,534075907,2024-2025,150,CSD2410008,,student,Active,324011009@htu.edu.gh
"Bauch , Tristan",324011010,200,Regular,BTech Information and Communication Technology,324011010,543051484,2024-2025,150,CSD2410009,,student,Active,324011010@htu.edu.gh
"Beck , Marcel",323010033,200,Weekend,BTech Computer Science,323010033,249029410,2024-2025,150,CSD2410010,,student,Active,323010033@htu.edu.gh
"Bedzoh , Tabea",324011012,300,Regular,HND Computer Science,324011012,543821458,2024-2025,150,CSD2410011,,student,Active,324011012@htu.edu.gh
"Beland , Timothy",324011013,300,Weekend,HND Information and Communication Technology,324011013,553291315,2024-2025,150,CSD2410012,,student,Active,324011013@htu.edu.gh
"Benke , Ann-Cathrine",324011014,300,Regular,BTech Information and Communication Technology,324011014,595723491,2024-2025,150,CSD2410013,,student,Active,324011014@htu.edu.gh
"Beigner , Lena",323010002,300,Weekend,BTech Computer Science,323010002,507766414,2024-2025,150,CSD2410014,,student,Active,323010002@htu.edu.gh
"Benz , Tom",324011016,300,Regular,HND Computer Science,324011016,507343892,2024-2025,150,CSD2410015,,student,Active,324011016@htu.edu.gh
"Bandoh , Stev",324011017,300,Weekend,HND Information and Communication Technology,324011017,595443887,2024-2025,150,CSD2410016,,student,Active,324011017@htu.edu.gh
"Blank , Michael",324011018,300,Regular,BTech Information and Communication Technology,324011018,551805905,2024-2025,150,CSD2410017,,student,Active,324011018@htu.edu.gh
"Bansah , Alexander",323010003,300,Weekend,BTech Computer Science,323010003,598900885,2024-2025,150,CSD2410018,,student,Active,323010003@htu.edu.gh
"Brand , Martin",324011020,300,Regular,HND Computer Science,324011020,599623697,2024-2025,150,CSD2410019,,student,Active,324011020@htu.edu.gh
"Breecher , Maja",324011021,300,Weekend,HND Information and Communication Technology,324011021,537705966,2024-2025,150,CSD2410020,,student,Active,324011021@htu.edu.gh
"Bremer , Jannik",323010034,300,Regular,BTech Information and Communication Technology,323010034,256963908,2024-2025,150,CSD2410021,,student,Active,323010034@htu.edu.gh
"Brenner , Aileen",323010004,300,Weekend,BTech Computer Science,323010004,599011649,2024-2025,150,CSD2410022,,student,Active,323010004@htu.edu.gh
"Brunke , Henning",323010005,300,Regular,HND Computer Science,323010005,544879800,2024-2025,150,CSD2410023,,student,Active,323010005@htu.edu.gh
"Brunner , Lea",324011025,300,Weekend,HND Information and Communication Technology,324011025,0550035287/ 0509301848,2024-2025,150,CSD2410024,,student,Active,324011025@htu.edu.gh
"Brunner , Lena",324011026,300,Regular,BTech Information and Communication Technology,324011026,550439354,2024-2025,150,CSD2410025,,student,Active,324011026@htu.edu.gh
"Bullow , Hans",323010035,300,Weekend,BTech Computer Science,323010035,552628420,2024-2025,150,CSD2410026,,student,Active,323010035@htu.edu.gh
"Buth , Laura-Sophia",324011028,300,Regular,HND Computer Science,324011028,551503956,2024-2025,150,CSD2410027,,student,Active,324011028@htu.edu.gh
"Constantine , Robert",323010036,300,Weekend,HND Information and Communication Technology,323010036,556373624,2024-2025,150,CSD2410028,,student,Active,323010036@htu.edu.gh
"Dawido , Frank",324011030,300,Regular,BTech Information and Communication Technology,324011030,256840769,2024-2025,150,CSD2410029,,student,Active,324011030@htu.edu.gh
"Denke , Zoo",323010006,300,Weekend,BTech Computer Science,323010006,257747881,2024-2025,150,CSD2410030,,student,Active,323010006@htu.edu.gh
"Duse , Sina",324011022,300,Regular,HND Computer Science,324011022,557810375,2024-2025,150,CSD2410031,,student,Active,324011022@htu.edu.gh
